"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-21","0.02","0.0","3.1","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-22","0.00","0.0","0.0","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-23","0.00","0.0","0.0","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-24","0.00","0.0","0.0","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-25","0.12","0.0","0.0","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-26","0.25","0.0","0.0","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-27","0.23","0.0","0.0","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-28","0.00","0.0","0.0","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-29","0.00","0.0","0.0","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-30","0.00","0.0","0.0","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-31","0.03","0.0","0.0","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-01","0.00","0.0","0.0","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-02","0.00","0.0","0.0","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-03","0.11","0.0","0.0","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-04","0.00","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-05","0.00","0.0","0.0","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-06","0.00","0.0","0.0","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-07","0.03","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-08","0.01","0.0","0.0","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-09","0.00","0.0","0.0","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-10","0.19","0.0","0.0","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-11","0.00","0.0","0.0","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-12","0.00","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-13","0.00","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-14","0.04","0.0","0.0","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-15","0.00","0.0","0.0","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-16","0.00","0.0","0.0","56"
